epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.73229,1.67924,3.45409,1.63114,0.00667,1,0.07726,0.02556,1.66906,2.87152,1.84117,2e-05,2e-05,2e-05
2,15.7358,1.19249,3.05947,1.4387,0.00667,1,0.15782,0.11925,1.42043,2.84703,1.7692,5.9406e-05,5.9406e-05,5.9406e-05
3,22.4908,1.13723,3.0563,1.28598,0.00667,1,0.62,0.2125,1.556,2.63154,1.77802,9.802e-05,9.802e-05,9.802e-05
4,29.4569,1.06096,2.84005,1.33273,0.00667,1,0.995,0.36836,1.3673,2.69671,1.63088,0.000135842,0.000135842,0.000135842
5,36.0992,1.23455,2.76821,1.4305,0.00667,1,0.695,0.37117,1.39375,2.64486,1.60919,0.000172872,0.000172872,0.000172872
6,42.4962,0.95807,2.75111,1.15688,0.00667,1,0.66333,0.25063,1.53671,2.74398,1.65182,0.00020911,0.00020911,0.00020911
7,49.4252,0.98555,2.87351,1.14166,0.00667,1,0.14214,0.05925,1.48231,2.85831,1.59799,0.000244556,0.000244556,0.000244556
8,56.1752,1.04021,3.49574,1.16298,0.00667,1,0.11706,0.05741,1.76708,2.81061,1.82533,0.00027921,0.00027921,0.00027921
9,62.7773,0.94464,2.51428,1.17336,0.00667,1,0.06219,0.02999,1.64852,2.91156,1.81486,0.000313072,0.000313072,0.000313072
10,69.6908,0.97431,2.93098,1.00352,0.00667,1,0.05103,0.03322,1.61915,2.93199,1.75357,0.000346142,0.000346142,0.000346142
11,76.2046,0.96688,2.23469,1.11303,0.00667,1,0.05686,0.04075,1.37646,2.9021,1.5701,0.00037842,0.00037842,0.00037842
12,82.838,0.99524,2.23436,1.13323,0.00667,1,0.06439,0.03966,1.50592,2.96105,1.58073,0.000409906,0.000409906,0.000409906
13,90.4951,1.08109,2.36118,1.16745,0.00667,1,0.398,0.12582,1.29147,2.8616,1.65103,0.0004406,0.0004406,0.0004406
14,97.9243,0.91138,2.11348,1.12625,0.00667,1,0.4975,0.25671,1.44478,2.71444,1.54724,0.000470502,0.000470502,0.000470502
15,105.259,0.91382,2.32227,1.10156,0.00667,1,0.398,0.22621,1.06802,2.69081,1.50369,0.000499612,0.000499612,0.000499612
16,113.552,0.93362,1.93468,1.10877,0.00667,1,0.745,0.43198,1.12171,2.62073,1.46271,0.00052793,0.00052793,0.00052793
17,120.481,0.85118,2.02136,1.05615,0.00667,1,0.56167,0.44499,1.14164,2.62631,1.40091,0.000555456,0.000555456,0.000555456
18,127.262,0.9317,1.86293,1.08083,0.00667,1,0.55056,0.48456,0.93478,2.52174,1.27084,0.00058219,0.00058219,0.00058219
19,134.063,0.92784,1.63914,1.03933,0.00667,1,0.25591,0.1803,0.89327,2.4329,1.25988,0.000608132,0.000608132,0.000608132
20,142.604,0.7898,1.76456,0.97173,0.00667,1,0.33083,0.26467,0.86545,2.25128,1.21577,0.000633282,0.000633282,0.000633282
21,150.12,0.98822,1.71705,1.14821,0.00667,1,0.28429,0.23458,0.69702,2.2542,1.05629,0.00065764,0.00065764,0.00065764
22,157.216,0.77555,1.87824,0.94796,0.00667,1,0.199,0.16479,0.63188,2.26457,0.99599,0.000681206,0.000681206,0.000681206
23,164.127,0.9232,1.56983,1.09169,0.19275,0.48188,0.22111,0.17475,0.70379,2.35026,1.07,0.00070398,0.00070398,0.00070398
24,172.396,0.77396,1.51424,1.01916,0.00667,1,0.24875,0.16728,0.80479,2.41267,1.13671,0.000725962,0.000725962,0.000725962
25,180.539,1.05545,2.3078,1.15538,0.00667,1,0.398,0.22392,0.85013,2.38492,1.14082,0.000747152,0.000747152,0.000747152
26,188.611,1.04976,1.49779,1.13014,0.00667,1,0.24875,0.14873,1.02983,2.40948,1.42685,0.00076755,0.00076755,0.00076755
27,196.498,0.84014,1.68259,1.0527,0.00667,1,0.14214,0.10675,0.71051,2.36468,1.33533,0.000787156,0.000787156,0.000787156
28,205.538,0.7734,1.36809,0.96764,0.00667,1,0.14214,0.10675,0.71051,2.36468,1.33533,0.00080597,0.00080597,0.00080597
29,214.102,0.83912,1.36539,1.06035,0.25386,0.5,0.33083,0.29775,0.72449,2.1189,1.25624,0.000823992,0.000823992,0.000823992
30,222.669,0.6218,4.06364,0.99865,0.83867,0.5,0.58591,0.51831,0.82168,2.00169,1.2665,0.000841222,0.000841222,0.000841222
31,231.006,0.93236,1.60686,1.14128,0.83867,0.5,0.58591,0.51831,0.82168,2.00169,1.2665,0.00085766,0.00085766,0.00085766
32,238.326,0.81425,1.66595,1.13412,0.456,0.5,0.55382,0.38941,0.76637,2.30995,1.29646,0.000873306,0.000873306,0.000873306
33,246.105,0.83339,1.43275,1.03807,0.00667,1,0.13806,0.09037,1.09983,2.55447,1.57297,0.00088816,0.00088816,0.00088816
34,254.011,0.95063,1.49478,1.11985,0.00667,1,0.13806,0.09037,1.09983,2.55447,1.57297,0.000902222,0.000902222,0.000902222
35,261.648,0.84763,1.62269,1.1238,0.00667,1,0.12417,0.06638,1.68313,2.71252,1.86184,0.000915492,0.000915492,0.000915492
36,269.988,0.92388,2.18376,1.11671,0.00667,1,0.13746,0.0639,1.60504,2.82508,1.90024,0.00092797,0.00092797,0.00092797
37,277.928,0.81787,1.61951,1.03944,0.00667,1,0.13746,0.0639,1.60504,2.82508,1.90024,0.000939656,0.000939656,0.000939656
38,285.656,0.84068,1.59043,1.03138,0.00667,1,0.52726,0.47139,1.15027,2.64976,1.6156,0.00095055,0.00095055,0.00095055
39,293.215,0.78355,1.40858,1.03437,0.0914,0.5,0.54763,0.41963,1.11968,2.33699,1.62898,0.000960652,0.000960652,0.000960652
40,300.595,0.84526,1.45164,1.04056,0.0914,0.5,0.54763,0.41963,1.11968,2.33699,1.62898,0.000969962,0.000969962,0.000969962
41,308.12,0.78486,1.30303,1.01286,0.46918,0.5,0.56643,0.45314,0.81931,2.25316,1.52091,0.00097848,0.00097848,0.00097848
42,315.678,0.80762,1.37563,0.97775,0.52693,1,0.66333,0.40424,1.02237,1.94762,1.57239,0.000986206,0.000986206,0.000986206
43,323.009,0.99375,1.50922,1.15868,0.52693,1,0.66333,0.40424,1.02237,1.94762,1.57239,0.00099314,0.00099314,0.00099314
44,331.736,0.87234,1.35926,1.06227,0.6164,1,0.66333,0.49083,0.8196,1.76175,1.41233,0.000999282,0.000999282,0.000999282
45,339.364,0.74541,2.55345,1.10311,0.6164,1,0.66333,0.49083,0.8196,1.76175,1.41233,0.00100463,0.00100463,0.00100463
46,347.023,0.72803,1.31887,0.91556,0.5303,0.5,0.82833,0.67925,0.68869,1.76855,1.27855,0.00100919,0.00100919,0.00100919
47,354.645,0.8068,2.20555,1.04544,0.5303,0.5,0.82833,0.67925,0.68869,1.76855,1.27855,0.00101296,0.00101296,0.00101296
48,362.201,0.80862,1.41314,1.00496,1,0.84399,0.995,0.74125,1.15809,2.20543,1.58211,0.00101593,0.00101593,0.00101593
49,371.255,0.84978,1.56633,1.08722,1,0.84399,0.995,0.74125,1.15809,2.20543,1.58211,0.00101811,0.00101811,0.00101811
50,379.795,0.79956,2.18965,1.07963,0.01027,1,0.4975,0.35659,1.36023,2.63135,2.02035,0.0010195,0.0010195,0.0010195
51,387.647,0.75081,1.30706,1.03895,0.01027,1,0.4975,0.35659,1.36023,2.63135,2.02035,0.00101,0.00101,0.00101
52,395.57,0.77889,1.34531,0.89646,0.0246,1,0.33167,0.15579,1.31178,2.62768,2.0886,0.0009902,0.0009902,0.0009902
53,403.379,0.70975,1.35224,1.05311,0.0246,1,0.33167,0.15579,1.31178,2.62768,2.0886,0.0009704,0.0009704,0.0009704
54,411.565,0.94973,1.46018,1.0683,0.40873,0.5,0.62,0.28088,1.43751,2.37436,2.06882,0.0009506,0.0009506,0.0009506
55,419.302,0.68887,1.48162,0.97005,0.40873,0.5,0.62,0.28088,1.43751,2.37436,2.06882,0.0009308,0.0009308,0.0009308
56,426.964,0.70166,1.51115,0.99494,0.83814,0.5,0.66167,0.19048,1.60554,2.24581,2.28918,0.000911,0.000911,0.000911
57,434.252,0.90939,1.23627,1.02275,0.83814,0.5,0.66167,0.19048,1.60554,2.24581,2.28918,0.0008912,0.0008912,0.0008912
58,442.034,0.72362,1.22863,0.98898,0.97162,1,0.995,0.62266,1.15759,1.51743,1.54574,0.0008714,0.0008714,0.0008714
59,450.07,0.77263,1.19796,1.00931,0.97162,1,0.995,0.62266,1.15759,1.51743,1.54574,0.0008516,0.0008516,0.0008516
60,458.504,0.82978,1.42651,1.01418,0.90544,1,0.995,0.74617,0.99677,1.4835,1.37229,0.0008318,0.0008318,0.0008318
61,468.714,0.70713,1.15502,0.97044,0.90544,1,0.995,0.74617,0.99677,1.4835,1.37229,0.000812,0.000812,0.000812
62,477.328,0.81033,1.19955,1.05517,0.62455,1,0.82833,0.679,0.77865,1.48637,1.18768,0.0007922,0.0007922,0.0007922
63,485.487,0.68136,1.12192,1.00256,0.62455,1,0.82833,0.679,0.77865,1.48637,1.18768,0.0007724,0.0007724,0.0007724
64,492.991,1.0396,1.58322,1.06785,0.89934,0.5,0.63786,0.57407,0.61054,1.86876,1.21439,0.0007526,0.0007526,0.0007526
65,500.573,0.83959,1.38722,1.02168,0.89934,0.5,0.63786,0.57407,0.61054,1.86876,1.21439,0.0007328,0.0007328,0.0007328
66,508.266,0.65843,1.22283,0.91163,0.87547,0.5,0.745,0.69517,0.73947,1.96897,1.19578,0.000713,0.000713,0.000713
67,515.792,0.59827,1.05694,0.94789,0.87547,0.5,0.745,0.69517,0.73947,1.96897,1.19578,0.0006932,0.0006932,0.0006932
68,523.436,0.7127,1.17787,0.92511,1,0.92462,0.995,0.84526,0.6468,1.81986,1.13496,0.0006734,0.0006734,0.0006734
69,530.937,0.67542,0.99524,0.99905,1,0.92462,0.995,0.84526,0.6468,1.81986,1.13496,0.0006536,0.0006536,0.0006536
70,538.543,0.58019,1.00454,0.9453,1,0.96924,0.995,0.84559,0.58334,1.41741,1.01887,0.0006338,0.0006338,0.0006338
71,545.96,0.73137,0.99154,0.97535,1,0.96924,0.995,0.84559,0.58334,1.41741,1.01887,0.000614,0.000614,0.000614
72,554.768,0.61163,1.16301,0.99968,1,0.98231,0.995,0.89517,0.58318,1.28076,1.01703,0.0005942,0.0005942,0.0005942
73,562.297,0.85783,1.47399,1.0132,1,0.98231,0.995,0.89517,0.58318,1.28076,1.01703,0.0005744,0.0005744,0.0005744
74,570.264,0.75031,1.00951,0.97529,1,0.96346,0.995,0.84526,0.8002,1.47318,1.15965,0.0005546,0.0005546,0.0005546
75,577.341,0.60381,0.87964,0.89733,1,0.96346,0.995,0.84526,0.8002,1.47318,1.15965,0.0005348,0.0005348,0.0005348
76,585.379,0.55279,0.91366,1.00311,1,0.91121,0.995,0.79534,1.08466,1.7203,1.41436,0.000515,0.000515,0.000515
77,593.064,0.66201,0.99265,0.96535,1,0.91121,0.995,0.79534,1.08466,1.7203,1.41436,0.0004952,0.0004952,0.0004952
78,600.453,0.68602,1.18023,0.94421,0.9216,0.5,0.82833,0.61251,1.14392,1.80979,1.46067,0.0004754,0.0004754,0.0004754
79,607.859,0.68003,1.48707,0.95626,0.9216,0.5,0.82833,0.61251,1.14392,1.80979,1.46067,0.0004556,0.0004556,0.0004556
80,615.254,0.81879,1.18725,1.01161,0.9319,0.5,0.82833,0.53274,1.28533,1.96283,1.49811,0.0004358,0.0004358,0.0004358
81,622.631,0.58742,0.82094,0.90535,0.9319,0.5,0.82833,0.53274,1.28533,1.96283,1.49811,0.000416,0.000416,0.000416
82,630.306,0.60589,1.60099,0.94122,0.92925,0.5,0.82833,0.5004,1.34353,2.04663,1.48466,0.0003962,0.0003962,0.0003962
83,637.659,0.70416,0.96286,0.97246,0.92925,0.5,0.82833,0.5004,1.34353,2.04663,1.48466,0.0003764,0.0003764,0.0003764
84,645.09,0.58581,1.32975,0.92862,0.94064,0.5,0.695,0.49973,1.14034,2.08526,1.39049,0.0003566,0.0003566,0.0003566
85,652.336,0.28251,27.3127,0.45565,0.94064,0.5,0.695,0.49973,1.14034,2.08526,1.39049,0.0003368,0.0003368,0.0003368
86,659.916,0.57608,0.92221,0.91639,0.94086,0.5,0.695,0.56576,1.02511,2.01614,1.27699,0.000317,0.000317,0.000317
87,667.838,0.57815,0.86299,0.99759,0.94086,0.5,0.695,0.56576,1.02511,2.01614,1.27699,0.0002972,0.0002972,0.0002972
88,675.728,0.71017,0.94394,0.96906,0.92936,0.5,0.745,0.62067,0.75195,1.74731,1.02705,0.0002774,0.0002774,0.0002774
89,683.471,0.65041,0.88273,0.96831,0.92936,0.5,0.745,0.62067,0.75195,1.74731,1.02705,0.0002576,0.0002576,0.0002576
90,691.406,0.56538,0.84109,0.88633,0.95092,1,0.995,0.82083,0.6548,1.19155,0.98884,0.0002378,0.0002378,0.0002378
91,699.949,0.43678,1.24396,0.84015,0.95092,1,0.995,0.82083,0.6548,1.19155,0.98884,0.000218,0.000218,0.000218
92,707.682,0.53858,1.29657,0.91228,0.99753,1,0.995,0.8955,0.63326,0.89113,0.97445,0.0001982,0.0001982,0.0001982
93,715.713,0.23115,21.8458,0.44518,0.99753,1,0.995,0.8955,0.63326,0.89113,0.97445,0.0001784,0.0001784,0.0001784
94,723.463,0.22974,21.114,0.41441,0.99836,1,0.995,0.8955,0.63695,0.85756,1.00541,0.0001586,0.0001586,0.0001586
95,731.045,0.41608,1.01011,0.84336,0.99836,1,0.995,0.8955,0.63695,0.85756,1.00541,0.0001388,0.0001388,0.0001388
96,738.208,0.33693,17.8206,0.47915,1,0.99879,0.995,0.84559,0.63839,0.87194,1.03997,0.000119,0.000119,0.000119
97,745.213,0.55948,1.21161,0.88247,1,0.99879,0.995,0.84559,0.63839,0.87194,1.03997,9.92e-05,9.92e-05,9.92e-05
98,752.509,0.49335,1.08532,0.85612,0.9971,1,0.995,0.84559,0.64994,0.84171,1.04364,7.94e-05,7.94e-05,7.94e-05
99,759.877,0.46378,1.17543,0.90485,0.9971,1,0.995,0.84559,0.64994,0.84171,1.04364,5.96e-05,5.96e-05,5.96e-05
100,767.277,0.47936,1.26905,0.95141,0.9903,1,0.995,0.8955,0.65843,0.81017,1.02986,3.98e-05,3.98e-05,3.98e-05
